 (-2.00350175+0.00000000j)  (-0.00000261-0.00000000j)
 (-2.00050025+0.00000000j)  (-0.00000269-0.00000000j)
 (-1.99749875+0.00000000j)  (-0.00000275+0.00000000j)
 (-1.99449725+0.00000000j)  (-0.00000277+0.00000000j)
 (-1.99149575+0.00000000j)  (-0.00000275+0.00000000j)
 (-1.98849425+0.00000000j)  (-0.00000268+0.00000000j)
 (-1.98549275+0.00000000j)  (-0.00000255-0.00000000j)
 (-1.98249125+0.00000000j)  (-0.00000238-0.00000000j)
 (-1.97948974+0.00000000j)  (-0.00000216+0.00000000j)
 (-1.97648824+0.00000000j)  (-0.00000191+0.00000000j)
 (-1.97348674+0.00000000j)  (-0.00000161-0.00000000j)
 (-1.97048524+0.00000000j)  (-0.00000120-0.00000000j)
 (-1.96748374+0.00000000j)  (-0.00000074+0.00000000j)
 (-1.96448224+0.00000000j)  (-0.00000065+0.00000000j)
 (-1.96148074+0.00000000j)  (-0.00000064-0.00000000j)
 (-1.95847924+0.00000000j)  (-0.00000057-0.00000000j)
 (-1.95547774+0.00000000j)  (-0.00000046+0.00000000j)
 (-1.95247624+0.00000000j)  (-0.00000035+0.00000000j)
 (-1.94947474+0.00000000j)  (-0.00000023+0.00000000j)
 (-1.94647324+0.00000000j)  (-0.00000013-0.00000000j)
 (-1.94347174+0.00000000j)  (-0.00000003-0.00000000j)
 (-1.94047024+0.00000000j)  (0.00000006+0.00000000j)
 (-1.93746873+0.00000000j)  (0.00000015+0.00000000j)
 (-1.93446723+0.00000000j)  (0.00000022-0.00000000j)
 (-1.93146573+0.00000000j)  (0.00000028-0.00000000j)
 (-1.92846423+0.00000000j)  (0.00000033-0.00000000j)
 (-1.92546273+0.00000000j)  (0.00000036-0.00000000j)
 (-1.92246123+0.00000000j)  (0.00000036+0.00000000j)
 (-1.91945973+0.00000000j)  (0.00000032-0.00000000j)
 (-1.91645823+0.00000000j)  (0.00000019+0.00000000j)
 (-1.91345673+0.00000000j)  (-0.00000002-0.00000000j)
 (-1.91045523+0.00000000j)  (-0.00000011-0.00000000j)
 (-1.90745373+0.00000000j)  (0.00000011+0.00000000j)
 (-1.90445223+0.00000000j)  (0.00000040-0.00000000j)
 (-1.90145073+0.00000000j)  (0.00000059+0.00000000j)
 (-1.89844922+0.00000000j)  (0.00000071-0.00000000j)
 (-1.89544772+0.00000000j)  (0.00000080+0.00000000j)
 (-1.89244622+0.00000000j)  (0.00000087-0.00000000j)
 (-1.88944472+0.00000000j)  (0.00000094+0.00000000j)
 (-1.88644322+0.00000000j)  (0.00000104+0.00000000j)
 (-1.88344172+0.00000000j)  (0.00000120+0.00000000j)
 (-1.88044022+0.00000000j)  (0.00000149-0.00000000j)
 (-1.87743872+0.00000000j)  (0.00000193+0.00000000j)
 (-1.87443722+0.00000000j)  (0.00000208+0.00000000j)
 (-1.87143572+0.00000000j)  (0.00000162+0.00000000j)
 (-1.86843422+0.00000000j)  (0.00000111+0.00000000j)
 (-1.86543272+0.00000000j)  (0.00000074+0.00000000j)
 (-1.86243122+0.00000000j)  (0.00000042+0.00000000j)
 (-1.85942971+0.00000000j)  (0.00000011+0.00000000j)
 (-1.85642821+0.00000000j)  (-0.00000022+0.00000000j)
 (-1.85342671+0.00000000j)  (-0.00000057-0.00000000j)
 (-1.85042521+0.00000000j)  (-0.00000088-0.00000000j)
 (-1.84742371+0.00000000j)  (-0.00000108+0.00000000j)
 (-1.84442221+0.00000000j)  (-0.00000109+0.00000000j)
 (-1.84142071+0.00000000j)  (-0.00000091+0.00000000j)
 (-1.83841921+0.00000000j)  (-0.00000061+0.00000000j)
 (-1.83541771+0.00000000j)  (-0.00000030-0.00000000j)
 (-1.83241621+0.00000000j)  (-0.00000001+0.00000000j)
 (-1.82941471+0.00000000j)  (0.00000023-0.00000000j)
 (-1.82641321+0.00000000j)  (0.00000041+0.00000000j)
 (-1.82341171+0.00000000j)  (0.00000055-0.00000000j)
 (-1.82041021+0.00000000j)  (0.00000066-0.00000000j)
 (-1.81740870+0.00000000j)  (0.00000074+0.00000000j)
 (-1.81440720+0.00000000j)  (0.00000080-0.00000000j)
 (-1.81140570+0.00000000j)  (0.00000084-0.00000000j)
 (-1.80840420+0.00000000j)  (0.00000087-0.00000000j)
 (-1.80540270+0.00000000j)  (0.00000089-0.00000000j)
 (-1.80240120+0.00000000j)  (0.00000090+0.00000000j)
 (-1.79939970+0.00000000j)  (0.00000092-0.00000000j)
 (-1.79639820+0.00000000j)  (0.00000094+0.00000000j)
 (-1.79339670+0.00000000j)  (0.00000095+0.00000000j)
 (-1.79039520+0.00000000j)  (0.00000096-0.00000000j)
 (-1.78739370+0.00000000j)  (0.00000097+0.00000000j)
 (-1.78439220+0.00000000j)  (0.00000098-0.00000000j)
 (-1.78139070+0.00000000j)  (0.00000101-0.00000000j)
 (-1.77838919+0.00000000j)  (0.00000108+0.00000000j)
 (-1.77538769+0.00000000j)  (0.00000121+0.00000000j)
 (-1.77238619+0.00000000j)  (0.00000145-0.00000000j)
 (-1.76938469+0.00000000j)  (0.00000169-0.00000000j)
 (-1.76638319+0.00000000j)  (0.00000158-0.00000000j)
 (-1.76338169+0.00000000j)  (0.00000121-0.00000000j)
 (-1.76038019+0.00000000j)  (0.00000091-0.00000000j)
 (-1.75737869+0.00000000j)  (0.00000071+0.00000000j)
 (-1.75437719+0.00000000j)  (0.00000055+0.00000000j)
 (-1.75137569+0.00000000j)  (0.00000043-0.00000000j)
 (-1.74837419+0.00000000j)  (0.00000032-0.00000000j)
 (-1.74537269+0.00000000j)  (0.00000021+0.00000000j)
 (-1.74237119+0.00000000j)  (0.00000010+0.00000000j)
 (-1.73936968+0.00000000j)  (-0.00000001+0.00000000j)
 (-1.73636818+0.00000000j)  (-0.00000013-0.00000000j)
 (-1.73336668+0.00000000j)  (-0.00000026+0.00000000j)
 (-1.73036518+0.00000000j)  (-0.00000040+0.00000000j)
 (-1.72736368+0.00000000j)  (-0.00000056-0.00000000j)
 (-1.72436218+0.00000000j)  (-0.00000074+0.00000000j)
 (-1.72136068+0.00000000j)  (-0.00000094-0.00000000j)
 (-1.71835918+0.00000000j)  (-0.00000111-0.00000000j)
 (-1.71535768+0.00000000j)  (-0.00000125+0.00000000j)
 (-1.71235618+0.00000000j)  (-0.00000136+0.00000000j)
 (-1.70935468+0.00000000j)  (-0.00000144-0.00000000j)
