 (-2.24662331+0.00000000j)  (0.00000145+0.00078241j)
 (-2.24362181+0.00000000j)  (0.00000145+0.00078160j)
 (-2.24062031+0.00000000j)  (0.00000145+0.00078079j)
 (-2.23761881+0.00000000j)  (0.00000145+0.00077997j)
 (-2.23461731+0.00000000j)  (0.00000145+0.00077915j)
 (-2.23161581+0.00000000j)  (0.00000145+0.00077832j)
 (-2.22861431+0.00000000j)  (0.00000146+0.00077749j)
 (-2.22561281+0.00000000j)  (0.00000148+0.00077665j)
 (-2.22261131+0.00000000j)  (0.00000151+0.00077581j)
 (-2.21960980+0.00000000j)  (0.00000155+0.00077497j)
 (-2.21660830+0.00000000j)  (0.00000162+0.00077412j)
 (-2.21360680+0.00000000j)  (0.00000172+0.00077330j)
 (-2.21060530+0.00000000j)  (0.00000187+0.00077253j)
 (-2.20760380+0.00000000j)  (0.00000201+0.00077187j)
 (-2.20460230+0.00000000j)  (0.00000202+0.00077130j)
 (-2.20160080+0.00000000j)  (0.00000189+0.00077066j)
 (-2.19859930+0.00000000j)  (0.00000173+0.00076990j)
 (-2.19559780+0.00000000j)  (0.00000161+0.00076908j)
 (-2.19259630+0.00000000j)  (0.00000153+0.00076824j)
 (-2.18959480+0.00000000j)  (0.00000148+0.00076739j)
 (-2.18659330+0.00000000j)  (0.00000144+0.00076654j)
 (-2.18359180+0.00000000j)  (0.00000142+0.00076570j)
 (-2.18059030+0.00000000j)  (0.00000140+0.00076486j)
 (-2.17758879+0.00000000j)  (0.00000139+0.00076402j)
 (-2.17458729+0.00000000j)  (0.00000137+0.00076318j)
 (-2.17158579+0.00000000j)  (0.00000137+0.00076235j)
 (-2.16858429+0.00000000j)  (0.00000136+0.00076152j)
 (-2.16558279+0.00000000j)  (0.00000135+0.00076068j)
 (-2.16258129+0.00000000j)  (0.00000135+0.00075985j)
 (-2.15957979+0.00000000j)  (0.00000134+0.00075902j)
 (-2.15657829+0.00000000j)  (0.00000134+0.00075818j)
 (-2.15357679+0.00000000j)  (0.00000134+0.00075735j)
 (-2.15057529+0.00000000j)  (0.00000134+0.00075652j)
 (-2.14757379+0.00000000j)  (0.00000133+0.00075568j)
 (-2.14457229+0.00000000j)  (0.00000133+0.00075485j)
 (-2.14157079+0.00000000j)  (0.00000133+0.00075401j)
 (-2.13856928+0.00000000j)  (0.00000133+0.00075318j)
 (-2.13556778+0.00000000j)  (0.00000132+0.00075233j)
 (-2.13256628+0.00000000j)  (0.00000132+0.00075149j)
 (-2.12956478+0.00000000j)  (0.00000132+0.00075064j)
 (-2.12656328+0.00000000j)  (0.00000132+0.00074979j)
 (-2.12356178+0.00000000j)  (0.00000132+0.00074893j)
 (-2.12056028+0.00000000j)  (0.00000132+0.00074807j)
 (-2.11755878+0.00000000j)  (0.00000133+0.00074721j)
 (-2.11455728+0.00000000j)  (0.00000133+0.00074633j)
 (-2.11155578+0.00000000j)  (0.00000134+0.00074544j)
 (-2.10855428+0.00000000j)  (0.00000135+0.00074455j)
 (-2.10555278+0.00000000j)  (0.00000137+0.00074363j)
 (-2.10255128+0.00000000j)  (0.00000140+0.00074269j)
 (-2.09954977+0.00000000j)  (0.00000145+0.00074172j)
 (-2.09654827+0.00000000j)  (0.00000152+0.00074070j)
 (-2.09354677+0.00000000j)  (0.00000164+0.00073961j)
 (-2.09054527+0.00000000j)  (0.00000186+0.00073840j)
 (-2.08754377+0.00000000j)  (0.00000235+0.00073700j)
 (-2.08454227+0.00000000j)  (0.00000358+0.00073542j)
 (-2.08154077+0.00000000j)  (0.00000676+0.00073501j)
 (-2.07853927+0.00000000j)  (0.00000750+0.00073929j)
 (-2.07553777+0.00000000j)  (0.00000407+0.00073971j)
 (-2.07253627+0.00000000j)  (0.00000256+0.00073819j)
 (-2.06953477+0.00000000j)  (0.00000197+0.00073677j)
 (-2.06653327+0.00000000j)  (0.00000170+0.00073554j)
 (-2.06353177+0.00000000j)  (0.00000155+0.00073443j)
 (-2.06053027+0.00000000j)  (0.00000146+0.00073340j)
 (-2.05752876+0.00000000j)  (0.00000140+0.00073242j)
 (-2.05452726+0.00000000j)  (0.00000136+0.00073147j)
 (-2.05152576+0.00000000j)  (0.00000133+0.00073055j)
 (-2.04852426+0.00000000j)  (0.00000131+0.00072964j)
 (-2.04552276+0.00000000j)  (0.00000129+0.00072875j)
 (-2.04252126+0.00000000j)  (0.00000128+0.00072787j)
 (-2.03951976+0.00000000j)  (0.00000126+0.00072699j)
 (-2.03651826+0.00000000j)  (0.00000125+0.00072612j)
 (-2.03351676+0.00000000j)  (0.00000125+0.00072526j)
 (-2.03051526+0.00000000j)  (0.00000124+0.00072440j)
 (-2.02751376+0.00000000j)  (0.00000124+0.00072354j)
 (-2.02451226+0.00000000j)  (0.00000123+0.00072269j)
 (-2.02151076+0.00000000j)  (0.00000122+0.00072184j)
 (-2.01850925+0.00000000j)  (0.00000121+0.00072099j)
 (-2.01550775+0.00000000j)  (0.00000121+0.00072014j)
 (-2.01250625+0.00000000j)  (0.00000120+0.00071929j)
 (-2.00950475+0.00000000j)  (0.00000120+0.00071844j)
 (-2.00650325+0.00000000j)  (0.00000119+0.00071759j)
 (-2.00350175+0.00000000j)  (0.00000119+0.00071675j)
 (-2.00050025+0.00000000j)  (0.00000119+0.00071590j)
 (-1.99749875+0.00000000j)  (0.00000118+0.00071506j)
 (-1.99449725+0.00000000j)  (0.00000118+0.00071421j)
 (-1.99149575+0.00000000j)  (0.00000118+0.00071337j)
 (-1.98849425+0.00000000j)  (0.00000117+0.00071253j)
 (-1.98549275+0.00000000j)  (0.00000117+0.00071168j)
 (-1.98249125+0.00000000j)  (0.00000117+0.00071084j)
 (-1.97948974+0.00000000j)  (0.00000116+0.00070999j)
 (-1.97648824+0.00000000j)  (0.00000116+0.00070915j)
 (-1.97348674+0.00000000j)  (0.00000116+0.00070831j)
 (-1.97048524+0.00000000j)  (0.00000116+0.00070746j)
 (-1.96748374+0.00000000j)  (0.00000116+0.00070662j)
 (-1.96448224+0.00000000j)  (0.00000116+0.00070577j)
 (-1.96148074+0.00000000j)  (0.00000115+0.00070494j)
 (-1.95847924+0.00000000j)  (0.00000115+0.00070409j)
 (-1.95547774+0.00000000j)  (0.00000115+0.00070325j)
 (-1.95247624+0.00000000j)  (0.00000115+0.00070240j)
 (-1.94947474+0.00000000j)  (0.00000115+0.00070156j)
 (-1.94647324+0.00000000j)  (0.00000115+0.00070071j)
 (-1.94347174+0.00000000j)  (0.00000115+0.00069987j)
 (-1.94047024+0.00000000j)  (0.00000115+0.00069902j)
 (-1.93746873+0.00000000j)  (0.00000116+0.00069818j)
 (-1.93446723+0.00000000j)  (0.00000116+0.00069735j)
 (-1.93146573+0.00000000j)  (0.00000115+0.00069651j)
 (-1.92846423+0.00000000j)  (0.00000115+0.00069567j)
 (-1.92546273+0.00000000j)  (0.00000114+0.00069483j)
 (-1.92246123+0.00000000j)  (0.00000114+0.00069398j)
 (-1.91945973+0.00000000j)  (0.00000113+0.00069314j)
 (-1.91645823+0.00000000j)  (0.00000113+0.00069229j)
 (-1.91345673+0.00000000j)  (0.00000112+0.00069145j)
 (-1.91045523+0.00000000j)  (0.00000112+0.00069060j)
 (-1.90745373+0.00000000j)  (0.00000112+0.00068976j)
 (-1.90445223+0.00000000j)  (0.00000111+0.00068891j)
 (-1.90145073+0.00000000j)  (0.00000110+0.00068806j)
 (-1.89844922+0.00000000j)  (0.00000110+0.00068722j)
 (-1.89544772+0.00000000j)  (0.00000109+0.00068637j)
 (-1.89244622+0.00000000j)  (0.00000109+0.00068551j)
 (-1.88944472+0.00000000j)  (0.00000109+0.00068466j)
 (-1.88644322+0.00000000j)  (0.00000109+0.00068382j)
 (-1.88344172+0.00000000j)  (0.00000108+0.00068297j)
 (-1.88044022+0.00000000j)  (0.00000108+0.00068212j)
 (-1.87743872+0.00000000j)  (0.00000107+0.00068126j)
 (-1.87443722+0.00000000j)  (0.00000107+0.00068041j)
 (-1.87143572+0.00000000j)  (0.00000107+0.00067956j)
 (-1.86843422+0.00000000j)  (0.00000107+0.00067871j)
 (-1.86543272+0.00000000j)  (0.00000106+0.00067786j)
 (-1.86243122+0.00000000j)  (0.00000106+0.00067700j)
 (-1.85942971+0.00000000j)  (0.00000106+0.00067615j)
 (-1.85642821+0.00000000j)  (0.00000105+0.00067530j)
 (-1.85342671+0.00000000j)  (0.00000105+0.00067444j)
 (-1.85042521+0.00000000j)  (0.00000105+0.00067359j)
 (-1.84742371+0.00000000j)  (0.00000104+0.00067273j)
